Assembly name,version,Species name,Common name,Ploidy=Chr,haplotype,NCBI GenBank ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,Link (FTP),Publication (PUBMED ID)
ASM2622669v1,,Zea mays,maize,2n=,haploid,GCA_026226695.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_026226695.1/,Chromosome,PacBio Sequel,FALCON v. V1,2142912830,2073502,325,2788,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/226/695/GCA_026226695.1_ASM2622669v1/GCA_026226695.1_ASM2622669v1_genomic.fna.gz,na
ASM2770486v1,,Solanum neorickii,NA,2n=,haploid,GCA_027704865.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_027704865.1/,Scaffold,PacBio,Canu v. 1.5,777851030,2078581,110,815,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/704/865/GCA_027704865.1_ASM2770486v1/GCA_027704865.1_ASM2770486v1_genomic.fna.gz,na
Nym,,Nymphaea colorata,pocket water lily,2n=,haploid,GCA_902499525.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_902499525.1/,Scaffold,NA,NA,409868458,2079871,46,1432,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/499/525/GCA_902499525.1_Nym/GCA_902499525.1_Nym_genomic.fna.gz,na
lpUroDecu1.2,,Urochloa decumbens,NA,2n=,haploid,GCA_964030465.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964030465.3/,Chromosome,PACBIO_SMRT,HiFiasmv0.18,2879420115,2080820,426,8885,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/030/465/GCA_964030465.3_lpUroDecu1.2/GCA_964030465.3_lpUroDecu1.2_genomic.fna.gz,na
drUrtDioi1.1,,Urtica dioica,great nettle,2n=,haploid,GCA_964188135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964188135.1/,Chromosome,PacBio Arima2,various,617943673,2081532,70,3688,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/188/135/GCA_964188135.1_drUrtDioi1.1/GCA_964188135.1_drUrtDioi1.1_genomic.fna.gz,na
ucAstSpea1.1,,Asterochloris sp. CNOR1,NA,2n=,haploid,GCA_963969365.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963969365.1/,Chromosome,PacBio Arima2,various,56057358,2087976,8,36,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/969/365/GCA_963969365.1_ucAstSpea1.1/GCA_963969365.1_ucAstSpea1.1_genomic.fna.gz,na
Chamomilla_haplotype_phased_assembly_v1,,Matricaria chamomilla var. recutita,German chamomile,2n=,haploid,GCA_963140225.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963140225.1/,Chromosome,Illumina Novaseq 6000  PacBio Sequel II,TRITEX  hifiasm,5863744147,2090193,723,29076,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/140/225/GCA_963140225.1_Chamomilla_haplotype_phased_assembly_v1/GCA_963140225.1_Chamomilla_haplotype_phased_assembly_v1_genomic.fna.gz,na
Gy14_PacBio_assembly,,Cucumis sativus,cucumber,2n=,haploid,GCA_016163705.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_016163705.1/,Chromosome,PacBio Sequel,Celera Assembler v. SEP-2018,239395304,2095464,31,926,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/163/705/GCA_016163705.1_Gy14_PacBio_assembly/GCA_016163705.1_Gy14_PacBio_assembly_genomic.fna.gz,na
ALyr_1.0,,Arabidopsis lyrata subsp. petraea,NA,2n=,haploid,GCA_026151145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_026151145.1/,Chromosome,PacBio Sequel; Illumina HiSeq,Canu v. 2.1,187463234,2097644,22,459,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/151/145/GCA_026151145.1_ALyr_1.0/GCA_026151145.1_ALyr_1.0_genomic.fna.gz,na
ASM1405810v1,,Kingdonia uniflora,NA,2n=,haploid,GCA_014058105.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014058105.1/,Contig,PacBio Sequel,Canu v. 1.8,1004558319,2099369,127,2901,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/058/105/GCA_014058105.1_ASM1405810v1/GCA_014058105.1_ASM1405810v1_genomic.fna.gz,32428861
ASM1810434v1,,Citrus sinensis,sweet orange,2n=,haploid,GCA_018104345.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_018104345.1/,Scaffold,PacBio; Illumina GAII,HGAP v. 2.3,337774563,2102076,47,971,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/104/345/GCA_018104345.1_ASM1810434v1/GCA_018104345.1_ASM1810434v1_genomic.fna.gz,na
ASM3463999v1,,Brassica oleracea var. viridis,kale,2n=,haploid,GCA_034639995.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034639995.1/,Chromosome,Oxford Nanopore,NextDenovo v. 2.2,583861306,2109945,80,730,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/639/995/GCA_034639995.1_ASM3463999v1/GCA_034639995.1_ASM3463999v1_genomic.fna.gz,na
ddImpParv1.hap1.1,,Impatiens parviflora,NA,2n=,haploid,GCA_965112305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965112305.1/,Chromosome,PacBio Arima2,various,1754268248,2114818,255,1752,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/112/305/GCA_965112305.1_ddImpParv1.hap1.1/GCA_965112305.1_ddImpParv1.hap1.1_genomic.fna.gz,na
ASM1335033v1,,Chimonanthus salicifolius,NA,2n=,haploid,GCA_013350335.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013350335.1/,Chromosome,PacBio; Illumina; 10X Genomics; Hi-C,FALCON v. 0.3; Pilon v. 1.16; FragScaff v. 140324.1; LACHESIS v. 1,853324400,2121821,111,1788,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/350/335/GCA_013350335.1_ASM1335033v1/GCA_013350335.1_ASM1335033v1_genomic.fna.gz,32524692
ASM883128v2,,Nymphaea colorata,pocket water lily,2n=,haploid,GCA_008831285.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_008831285.2/,Chromosome,PacBio RSII; Hi-C,CANU v. 1.3,407445134,2136418,45,1407,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/831/285/GCA_008831285.2_ASM883128v2/GCA_008831285.2_ASM883128v2_genomic.fna.gz,na
Hx117_PacBio_assembly,,Cucumis sativus,cucumber,2n=,haploid,GCA_016161765.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_016161765.1/,Chromosome,PacBio Sequel,Celera Assembler v. SEP-2018,243718273,2137959,23,1014,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/765/GCA_016161765.1_Hx117_PacBio_assembly/GCA_016161765.1_Hx117_PacBio_assembly_genomic.fna.gz,na
ASM3795466v1,,Laguncularia racemosa,NA,2n=,haploid,GCA_037954665.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037954665.1/,Scaffold,PacBio; Illumina,FALCON v. 2.3,1104741268,2145536,140,7632,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/954/665/GCA_037954665.1_ASM3795466v1/GCA_037954665.1_ASM3795466v1_genomic.fna.gz,37688468
VMJ,,Papilionanthe hookeriana x Papilionanthe teres,NA,2n=,haploid,GCA_022702705.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022702705.1/,Chromosome,Oxford Nanopore; Omni-C,Flye v. 2.9; 3D-DNA v. 201008,2568924541,2150488,351,8961,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/702/705/GCA_022702705.1_VMJ/GCA_022702705.1_VMJ_genomic.fna.gz,na
ASM1179987v1,,Thinopyrum elongatum,tall wheatgrass,2n=,haploid,GCA_011799875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011799875.1/,Chromosome,Illumina HiSeq; PacBio Sequel,NRGene DeNovoMAGICTM v. 3.0,4581243208,2152584,596,12292,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/799/875/GCA_011799875.1_ASM1179987v1/GCA_011799875.1_ASM1179987v1_genomic.fna.gz,32273397
ASM2240511v1,,Solanum lycopersicum,tomato,2n=,haploid,GCA_022405115.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022405115.1/,Chromosome,PacBio,CANU v. 3.0,795464005,2154195,104,892,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/405/115/GCA_022405115.1_ASM2240511v1/GCA_022405115.1_ASM2240511v1_genomic.fna.gz,34911432
ASM976082v1,,Cucumis melo var. inodorus,casaba melon,2n=,haploid,GCA_009760825.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009760825.1/,Chromosome,PacBio RSII,Canu v. 1.5,386470950,2168685,51,882,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/760/825/GCA_009760825.1_ASM976082v1/GCA_009760825.1_ASM976082v1_genomic.fna.gz,3179171
Triticum_aestivum_Renan,,Triticum aestivum,bread wheat,2n=,haploid,GCA_920937835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_920937835.1/,Chromosome,NA,NA,14001123011,2172352,1945,12779,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/920/937/835/GCA_920937835.1_Triticum_aestivum_Renan/GCA_920937835.1_Triticum_aestivum_Renan_genomic.fna.gz,na
NAFU_Zjuj_v2.0,,Ziziphus jujuba,common jujube,2n=,haploid,GCA_001835785.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001835785.2/,Chromosome,PacBio Sequel,FALCON-Unzip v. DEC-2018,362254853,2172811,53,269,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/835/785/GCA_001835785.2_NAFU_Zjuj_v2.0/GCA_001835785.2_NAFU_Zjuj_v2.0_genomic.fna.gz,na
G12873,,Phaseolus vulgaris,string bean,2n=,haploid,GCA_040616375.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040616375.1/,Contig,Oxford Nanopore MinION,Canu v. 2.1,584634161,2176347,49,6173,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/616/375/GCA_040616375.1_G12873/GCA_040616375.1_G12873_genomic.fna.gz,na
Triticum_aestivum_Renan_v2.1,,Triticum aestivum,bread wheat,2n=,haploid,GCA_937894285.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_937894285.1/,Chromosome,NA,NA,13943022053,2178475,1933,12406,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/894/285/GCA_937894285.1_Triticum_aestivum_Renan_v2.1/GCA_937894285.1_Triticum_aestivum_Renan_v2.1_genomic.fna.gz,na
lpCarAcui1.hap1.1,,Carex acutiformis,NA,2n=,haploid,GCA_964417155.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964417155.1/,Chromosome,PacBio Arima2,various,411430226,2180156,58,634,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/417/155/GCA_964417155.1_lpCarAcui1.hap1.1/GCA_964417155.1_lpCarAcui1.hap1.1_genomic.fna.gz,na
NIFoS_Ccrenata_1.0,,Castanea crenata,Japanese chestnut,2n=,haploid,GCA_020976635.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020976635.1/,Scaffold,PacBio Sequel,FALCON-Unzip v. 3.0,764935061,2188643,104,1688,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/976/635/GCA_020976635.1_NIFoS_Ccrenata_1.0/GCA_020976635.1_NIFoS_Ccrenata_1.0_genomic.fna.gz,na
ASM4490585v1,,Prunella vulgaris,self-heal,2n=,haploid,GCA_044905855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044905855.1/,Chromosome,Oxford Nanopore,Smartdenovo v. Sep-2020,671656423,2193641,70,693,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/905/855/GCA_044905855.1_ASM4490585v1/GCA_044905855.1_ASM4490585v1_genomic.fna.gz,38226777
ora.v1,,Prunus armeniaca,apricot,2n=,haploid,GCA_964056625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964056625.1/,Chromosome,hifi,hifiasm,234830557,2201065,31,199,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/056/625/GCA_964056625.1_ora.v1/GCA_964056625.1_ora.v1_genomic.fna.gz,na
NJFU_Lchi_2.0,,Liriodendron chinense,NA,2n=,haploid,GCA_003013855.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003013855.2/,Scaffold,Illumina; PacBio; Bionano,FALCON v. 0.3.0,1742409991,2204006,224,4183,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/013/855/GCA_003013855.2_NJFU_Lchi_2.0/GCA_003013855.2_NJFU_Lchi_2.0_genomic.fna.gz,30559417
KIB_Hcal_1,,Hsuehochloa calcarea,NA,2n=,haploid,GCA_036346395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036346395.1/,Chromosome,Oxford Nanopore PromethION,SMARTdenovo v. 1.0.0,1297973154,2204776,128,929,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/346/395/GCA_036346395.1_KIB_Hcal_1/GCA_036346395.1_KIB_Hcal_1_genomic.fna.gz,na
lpJunEffu1.1,,Juncus effusus,common rush,2n=,haploid,GCA_946800655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_946800655.1/,Chromosome,PacBio Illumina Arima2,various,242841433,2205953,34,270,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/800/655/GCA_946800655.1_lpJunEffu1.1/GCA_946800655.1_lpJunEffu1.1_genomic.fna.gz,na
ASM480246v1,,Citrus hindsii,Hong Kong kumquat,2n=,haploid,GCA_004802465.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_004802465.1/,Contig,PacBio Sequel,Mecat v. 1.0,373170204,2206231,41,1331,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/802/465/GCA_004802465.1_ASM480246v1/GCA_004802465.1_ASM480246v1_genomic.fna.gz,na
ASM3712622v1,,Dillenia turbinata,NA,2n=,haploid,GCA_037126225.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037126225.1/,Scaffold,Oxford Nanopore GridION,CANU v. 2.2,723483577,2207539,101,601,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/126/225/GCA_037126225.1_ASM3712622v1/GCA_037126225.1_ASM3712622v1_genomic.fna.gz,na
ZD_Sfla_1.0,,Sophora flavescens,NA,2n=,haploid,GCA_030762895.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030762895.1/,Chromosome,Oxford Nanopore PromethION,CANU v. 2.0,2073138482,2210727,275,7740,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/762/895/GCA_030762895.1_ZD_Sfla_1.0/GCA_030762895.1_ZD_Sfla_1.0_genomic.fna.gz,na
SB22,,Solanum bulbocastanum,ornamental nightshade,2n=,haploid,GCA_035048845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_035048845.1/,Chromosome,PacBio RSII,FALCON v. MAY-2019,656277145,2211897,77,1313,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/048/845/GCA_035048845.1_SB22/GCA_035048845.1_SB22_genomic.fna.gz,na
ASM2855148v1,,Casuarina cunninghamiana,NA,2n=,haploid,GCA_028551485.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_028551485.1/,Chromosome,PacBio Sequel,FALCON v. 1.2.4,293352106,2212262,35,308,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/551/485/GCA_028551485.1_ASM2855148v1/GCA_028551485.1_ASM2855148v1_genomic.fna.gz,na
lpCarHirt1.hap1.1,,Carex hirta,NA,2n=,haploid,GCA_965112215.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965112215.1/,Chromosome,PacBio Arima2,various,334448818,2215131,49,539,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/112/215/GCA_965112215.1_lpCarHirt1.hap1.1/GCA_965112215.1_lpCarHirt1.hap1.1_genomic.fna.gz,na
ASM2079620v1,,Ziziphus jujuba var. spinosa,NA,2n=,haploid,GCA_020796205.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020796205.1/,Chromosome,PacBio Sequel,SMARTDENOVO v. 1.0,405604715,2216458,53,907,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/796/205/GCA_020796205.1_ASM2079620v1/GCA_020796205.1_ASM2079620v1_genomic.fna.gz,na
drRubCaes1.hap2.1,,Rubus caesius,NA,2n=,haploid,GCA_964235075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964235075.1/,Scaffold,PacBio Arima2,various,633229376,2218852,87,665,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/235/075/GCA_964235075.1_drRubCaes1.hap2.1/GCA_964235075.1_drRubCaes1.hap2.1_genomic.fna.gz,na
drIngLaur1.1,,Inga laurina,NA,2n=,haploid,GCA_963855925.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963855925.1/,Chromosome,PacBio Arima2,various,899434573,2222316,121,664,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/855/925/GCA_963855925.1_drIngLaur1.1/GCA_963855925.1_drIngLaur1.1_genomic.fna.gz,na
Ama_scaffold_v2,,Avicennia marina subsp. marina,NA,2n=,haploid,GCA_900174615.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_900174615.1/,Scaffold,NA,NA,458282073,2226468,63,451,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/174/615/GCA_900174615.1_Ama_scaffold_v2/GCA_900174615.1_Ama_scaffold_v2_genomic.fna.gz,na
O.fragrans.LYG.hic.fasta,,Osmanthus fragrans,sweet osmanthus,2n=,haploid,GCA_019395295.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_019395295.1/,Chromosome,PacBio Sequel II,Mecat2 v. DEC-2019,733003510,2239349,108,637,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/395/295/GCA_019395295.1_O.fragrans.LYG.hic.fasta/GCA_019395295.1_O.fragrans.LYG.hic.fasta_genomic.fna.gz,33931610
ASM4722562v1,,Malus sieboldii,Toringo crab-apple,2n=,unresolved-diploid,GCA_047225625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_047225625.1/,Chromosome,PacBio Sequel,HiFiasm v. 0.15_r334,1371004260,2241631,146,3170,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/225/625/GCA_047225625.1_ASM4722562v1/GCA_047225625.1_ASM4722562v1_genomic.fna.gz,na
ASM972507v1,,Coix aquatica,NA,2n=,haploid,GCA_009725075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009725075.1/,Chromosome,PacBio Sequel,Canu v. May-2018,1615370127,2241760,220,3002,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/725/075/GCA_009725075.1_ASM972507v1/GCA_009725075.1_ASM972507v1_genomic.fna.gz,31778843
daScuGale1.1 alternate haplotype,,Scutellaria galericulata,marsh skullcap,2n=,alternate-pseudohaplotype,GCA_946800675.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_946800675.1/,Contig,NA,NA,12118684,2245896,2,149,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/800/675/GCA_946800675.1_daScuGale1.1_alternate_haplotype/GCA_946800675.1_daScuGale1.1_alternate_haplotype_genomic.fna.gz,na
drPotSter1.1,,Potentilla sterilis,NA,2n=,haploid,GCA_963682095.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963682095.1/,Chromosome,PacBio Arima2,various,744204527,2260000,100,783,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/682/095/GCA_963682095.1_drPotSter1.1/GCA_963682095.1_drPotSter1.1_genomic.fna.gz,na
C.richardii_v2,,Ceratopteris richardii,NA,2n=,haploid,GCA_020310875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020310875.1/,Chromosome,PacBio Sequel,Canu v. 1.8,7416456312,2271383,908,10776,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/310/875/GCA_020310875.1_C.richardii_v2/GCA_020310875.1_C.richardii_v2_genomic.fna.gz,na
ASM1428224v1,,Rhododendron simsii,NA,2n=,haploid,GCA_014282245.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014282245.1/,Chromosome,PacBio Sequel,SMARTDENOVO v. 1.0,527654703,2274689,65,897,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/245/GCA_014282245.1_ASM1428224v1/GCA_014282245.1_ASM1428224v1_genomic.fna.gz,na
ASM4526931v1,,Trebouxia sp. C0010 RCD-2024,NA,2n=,haploid,GCA_045269315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_045269315.1/,Contig,PacBio Sequel,Flye v. 2.9,66155697,2278904,12,78,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/269/315/GCA_045269315.1_ASM4526931v1/GCA_045269315.1_ASM4526931v1_genomic.fna.gz,39475309
CPNAM-ChineseAmber,,Sorghum bicolor,sorghum,2n=,haploid,GCA_947241645.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_947241645.1/,Scaffold,PacBio,Canu,695001986,2281751,71,1597,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/241/645/GCA_947241645.1_CPNAM-ChineseAmber/GCA_947241645.1_CPNAM-ChineseAmber_genomic.fna.gz,na
UAZ_Capgrnd_2,,Capsella grandiflora,NA,2n=,haploid,GCA_040086895.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040086895.1/,Contig,Oxford Nanopore MinION,Canu v. 1.9,145075854,2289512,17,577,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/086/895/GCA_040086895.1_UAZ_Capgrnd_2/GCA_040086895.1_UAZ_Capgrnd_2_genomic.fna.gz,37987565
lpSchLacu1.1,,Schoenoplectus lacustris,NA,2n=,haploid,GCA_964200675.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964200675.1/,Chromosome,PacBio Arima2,various,480809628,2291339,59,318,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/200/675/GCA_964200675.1_lpSchLacu1.1/GCA_964200675.1_lpSchLacu1.1_genomic.fna.gz,na
drTriStri1.hap2.1,,Trifolium striatum,NA,2n=,haploid,GCA_964106565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964106565.1/,Scaffold,PacBio Arima2,various,379612416,2291999,54,402,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/106/565/GCA_964106565.1_drTriStri1.hap2.1/GCA_964106565.1_drTriStri1.hap2.1_genomic.fna.gz,na
drRubCaes1.hap1.1,,Rubus caesius,NA,2n=,haploid,GCA_964235055.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964235055.1/,Chromosome,PacBio Arima2,various,628514631,2300282,77,841,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/235/055/GCA_964235055.1_drRubCaes1.hap1.1/GCA_964235055.1_drRubCaes1.hap1.1_genomic.fna.gz,na
ATRun2_miniasm_assembly,,Arabidopsis thaliana,thale cress,2n=,haploid,GCA_964264645.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964264645.1/,Contig,GridION,Miniasm,118711751,2301001,17,112,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/264/645/GCA_964264645.1_ATRun2_miniasm_assembly/GCA_964264645.1_ATRun2_miniasm_assembly_genomic.fna.gz,na
Mn-MIA8875-DRAFT-NextGenCassava-1.0,,Mallotus nudiflorus,NA,2n=,haploid,GCA_947683625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_947683625.1/,Contig,PacBio SEQUEL II,Hifiasm 0.15.1-r334,1420689326,2311055,145,2463,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/683/625/GCA_947683625.1_Mn-MIA8875-DRAFT-NextGenCassava-1.0/GCA_947683625.1_Mn-MIA8875-DRAFT-NextGenCassava-1.0_genomic.fna.gz,na
mabamboo_1.0,,Dendrocalamus latiflorus,sweet bamboo,2n=,haploid,GCA_017311315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_017311315.1/,Chromosome,PacBio Sequel,SOAPdenovo v. August-2020,2742844428,2311828,365,3974,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/311/315/GCA_017311315.1_mabamboo_1.0/GCA_017311315.1_mabamboo_1.0_genomic.fna.gz,na
Cla97_v1,,Citrullus lanatus,watermelon,2n=,haploid,GCA_000238415.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000238415.2/,Chromosome,PacBio,FALCON v. 1.8.7,359800263,2312425,50,358,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/415/GCA_000238415.2_Cla97_v1/GCA_000238415.2_Cla97_v1_genomic.fna.gz,na
ASM4722551v1,,Malus angustifolia,southern crabapple,2n=,unresolved-diploid,GCA_047225515.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_047225515.1/,Chromosome,PacBio Sequel,HiFiasm v. 0.15_r334,1216363875,2312712,144,2160,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/225/515/GCA_047225515.1_ASM4722551v1/GCA_047225515.1_ASM4722551v1_genomic.fna.gz,na
Gossypium_mustelinum_v1.1,,Gossypium mustelinum,NA,2n=,haploid,GCA_007990455.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_007990455.1/,Chromosome,PacBio Sequel,Mecat v. 1.0,2297344504,2312865,272,2146,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/990/455/GCA_007990455.1_Gossypium_mustelinum_v1.1/GCA_007990455.1_Gossypium_mustelinum_v1.1_genomic.fna.gz,na
ASM4451014v1,,Solanum pimpinellifolium,currant tomato,2n=,haploid,GCA_044510145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044510145.1/,Chromosome,Illumina; Oxford Nanopore,MaSuRCA v. 3.4.1,798597959,2315566,100,744,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/510/145/GCA_044510145.1_ASM4451014v1/GCA_044510145.1_ASM4451014v1_genomic.fna.gz,na
ASM2240510v1,,Aristolochia contorta,bei ma dou ling,2n=,haploid,GCA_022405105.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022405105.1/,Chromosome,Oxford Nanopore PromethION; Illumina HiSeq,Canu v. March-2019; wtbdg2 v. March-2019; smartdenovo v. March-2019,210526771,2315928,21,224,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/405/105/GCA_022405105.1_ASM2240510v1/GCA_022405105.1_ASM2240510v1_genomic.fna.gz,35147168
ddMatSinu1.hap1.1,,Matthiola sinuata,NA,2n=,haploid,GCA_964656325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964656325.1/,Chromosome,PacBio Arima2,various,2066091029,2317000,275,1623,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/656/325/GCA_964656325.1_ddMatSinu1.hap1.1/GCA_964656325.1_ddMatSinu1.hap1.1_genomic.fna.gz,na
