Assembly name,version,Species,Common name,Ploidy=Chr,haplotype,ID,Link (download),assembly quality (ie: Gold  draft  etc),Sequencer Reads,Assembly Method,Total Length (bp),N50 Length (bp),L50 (#),Contig (#),Number of Gaps,genus,family,order,class,phylum,group name,Link (FTP),Publication (PUBMED ID),Busco_cutoff
ASM1206604v3,nan,Morus alba,white mulberry,2n=,haploid,GCA_012066045.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_012066045.3/,Chromosome,Illumina HiSeq; Oxford Nanopore,canu v. December-2018; smartdenovo v. December-2018; juicer v. December-2018; 3d-dna v. December-2018,336301616,3089666,29,518,nan,Morus,Moraceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/066/045/GCA_012066045.3_ASM1206604v3/GCA_012066045.3_ASM1206604v3_genomic.fna.gz,32422187,False
ASM1340144v1,nan,Tripterygium wilfordii,nan,2n=,haploid,GCA_013401445.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013401445.1/,Chromosome,Illumina HiSeq PacBio,FALCON v. 3.1,348378095,4362171,30,467,nan,Tripterygium,Celastraceae,Celastrales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/445/GCA_013401445.1_ASM1340144v1/GCA_013401445.1_ASM1340144v1_genomic.fna.gz,32080175,False
ASM4423139v1,nan,Chrysosplenium macrophyllum,nan,2n=,haploid,GCA_044231395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044231395.1/,Chromosome,Oxford Nanopore Technologies,NextDenovo v. 2.5.0,2488207309,2463466,294,1751,nan,Chrysosplenium,Saxifragaceae,Saxifragales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/231/395/GCA_044231395.1_ASM4423139v1/GCA_044231395.1_ASM4423139v1_genomic.fna.gz,na,False
arahy.BaileyII.gnm1.genome_main,nan,Arachis hypogaea subsp. hypogaea,nan,2n=,haploid,GCA_028451205.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_028451205.1/,Chromosome,PacBio Sequel II,CANU v. 1.9,2550126081,17573708,42,1004,nan,Arachis,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/451/205/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main_genomic.fna.gz,na,False
ASM4269216v1,nan,Dalbergia candenatensis,nan,2n=,haploid,GCA_042692165.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_042692165.1/,Chromosome,PacBio,HiFiasm v. 0.16.1-r375,497548652,44149702,5,52,nan,Dalbergia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/692/165/GCA_042692165.1_ASM4269216v1/GCA_042692165.1_ASM4269216v1_genomic.fna.gz,na,False
ASM4378986v1,nan,Centella asiatica,ji xue cao,2n=,haploid,GCA_043789865.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043789865.1/,Chromosome,PacBio HiFi,HiFiasm v. 0.19.9,455409004,20179487,9,794,nan,Centella,Apiaceae,Apiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/789/865/GCA_043789865.1_ASM4378986v1/GCA_043789865.1_ASM4378986v1_genomic.fna.gz,na,False
ASM784410v2,nan,Rhamnella rubrinervis,nan,2n=,haploid,GCA_007844105.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_007844105.2/,Chromosome,Oxford Nanopore GridION,Canu v. 1.8,245297436,3075000,25,609,nan,Rhamnella,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/105/GCA_007844105.2_ASM784410v2/GCA_007844105.2_ASM784410v2_genomic.fna.gz,na,False
ASM3963971v1,nan,Citrullus lanatus,watermelon,2n=,haploid,GCA_039639715.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_039639715.1/,Complete Genome,PacBio,hifiasm v. v 0.18.4,373729396,36073259,5,11,nan,Citrullus,Cucurbitaceae,Cucurbitales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/639/715/GCA_039639715.1_ASM3963971v1/GCA_039639715.1_ASM3963971v1_genomic.fna.gz,na,False
ASM3712725v1,nan,Persicaria tinctoria,nan,2n=,haploid,GCA_037127255.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037127255.1/,Scaffold,PacBio,ABySS v. Hifiasm (v0.16.1),1684391110,30217394,17,321,nan,Persicaria,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/127/255/GCA_037127255.1_ASM3712725v1/GCA_037127255.1_ASM3712725v1_genomic.fna.gz,na,False
A1.wagad.PGA,nan,Gossypium herbaceum,Arabian cotton,2n=,haploid,GCA_025584905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025584905.1/,Chromosome,PacBio Sequel,CANU v. 2.0,1595418686,94297648,7,72,nan,Gossypium,Malvaceae,Malvales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/584/905/GCA_025584905.1_A1.wagad.PGA/GCA_025584905.1_A1.wagad.PGA_genomic.fna.gz,na,False
ASM3685090v1,nan,Luffa acutangula,ridged gourd,2n=,haploid,GCA_036850905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036850905.1/,Chromosome,Illumina HiSeq,SOAPdenovo v. 2.1.0,738646126,18375156,15,280,nan,Luffa,Cucurbitaceae,Cucurbitales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/850/905/GCA_036850905.1_ASM3685090v1/GCA_036850905.1_ASM3685090v1_genomic.fna.gz,na,False
GZUCM_PCab_1.0,nan,Pogostemon cablin,patchouli,2n=,haploid,GCA_023678885.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023678885.1/,Chromosome,PacBio Sequel,Canu v. 2.0,1940054711,7968678,79,1729,nan,Pogostemon,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/678/885/GCA_023678885.1_GZUCM_PCab_1.0/GCA_023678885.1_GZUCM_PCab_1.0_genomic.fna.gz,na,False
ASM2575979v1,nan,Solanum lycopersicum var. cerasiforme,cherry tomato,2n=,haploid,GCA_025759795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025759795.1/,Chromosome,Oxford Nanopore PromethION; Illumina,NECAT v. 0.0.1; NextPolish v. 1.4.0; RagTag v. 2.0.1,803609898,22891787,13,483,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/759/795/GCA_025759795.1_ASM2575979v1/GCA_025759795.1_ASM2575979v1_genomic.fna.gz,na,False
ASM2352597v1,nan,Smallanthus sonchifolius,nan,2n=,haploid,GCA_023525975.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023525975.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.14.2,2716317230,66499177,15,562,nan,Smallanthus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/525/975/GCA_023525975.1_ASM2352597v1/GCA_023525975.1_ASM2352597v1_genomic.fna.gz,na,False
ASM3707458v1,nan,Biancaea sappan,sappanwood,2n=,haploid,GCA_037074585.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037074585.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.19.5,870047267,52252475,7,167,nan,Biancaea,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/074/585/GCA_037074585.1_ASM3707458v1/GCA_037074585.1_ASM3707458v1_genomic.fna.gz,na,False
ASM3707498v1,nan,Solanum bulbocastanum,ornamental nightshade,2n=,haploid,GCA_037074985.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037074985.1/,Chromosome,PacBio Sequel IIe; Illumina NovaSeq; Saphyr Optical Genome Mapping,Hifiasm v. 0.16.1-r375; Bionano Access v. 1.7.1.1; Juicer v. 1.6,737489918,38080280,8,1845,nan,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/074/985/GCA_037074985.1_ASM3707498v1/GCA_037074985.1_ASM3707498v1_genomic.fna.gz,na,False
CAF_SchTab_1.0,nan,Schoenoplectus tabernaemontani,nan,2n=,haploid,GCA_037127355.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037127355.1/,Chromosome,Illumina NovaSeq; Oxford Nanopore PromethION,NextDenovo v. 2.5.0; Racon v. 1.4.11; Pilon v. 1.23,507945431,3615529,44,249,nan,Schoenoplectus,Cyperaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/127/355/GCA_037127355.1_CAF_SchTab_1.0/GCA_037127355.1_CAF_SchTab_1.0_genomic.fna.gz,na,False
ASM3380777v1,nan,Saussurea involucrata,nan,2n=,haploid,GCA_033807775.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033807775.1/,Chromosome,PacBio HiFi,HiFiasm v. 0.16.1,2451350042,10243928,72,2097,nan,Saussurea,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/807/775/GCA_033807775.1_ASM3380777v1/GCA_033807775.1_ASM3380777v1_genomic.fna.gz,37885817,False
v1,nan,Cichorium endivia,escarole,2n=,haploid,GCA_023376185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023376185.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.14.2,886635865,9012837,33,1418,nan,Cichorium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/376/185/GCA_023376185.1_v1/GCA_023376185.1_v1_genomic.fna.gz,na,False
ASM2393514v1,nan,Bretschneidera sinensis,nan,2n=,haploid,GCA_023935145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023935145.1/,Chromosome,PacBio,Hifiasm v. 0.15.4-r347,1213724607,64134882,7,589,nan,Bretschneidera,Akaniaceae,Brassicales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/935/145/GCA_023935145.1_ASM2393514v1/GCA_023935145.1_ASM2393514v1_genomic.fna.gz,35701375,False
ASM2641318v1,nan,Pueraria montana var. lobata,kudzu vine,2n=,haploid,GCA_026413185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_026413185.1/,Chromosome,Illumina; PacBio,HIFIASM v. 16.1,939201106,29506772,11,374,nan,Pueraria,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/413/185/GCA_026413185.1_ASM2641318v1/GCA_026413185.1_ASM2641318v1_genomic.fna.gz,na,False
ASM3464237v1,nan,Vigna nakashimae,nan,2n=,haploid,GCA_034642375.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034642375.1/,Chromosome,Oxford Nanopore PromethION; Illumina HiSeq,NECAT v. 0.0.1_update20200803,549516292,22833083,10,42,nan,Vigna,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/642/375/GCA_034642375.1_ASM3464237v1/GCA_034642375.1_ASM3464237v1_genomic.fna.gz,na,False
ASM4323785v1,nan,Forsythia ovata,Korean forsythia,2n=,haploid,GCA_043237855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043237855.1/,Chromosome,Illumina NovaSeq; PacBio Sequel; Illumina HiSeq,FALCON v. 2.1.4,1108376499,1077681,323,1635,nan,Forsythia,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/237/855/GCA_043237855.1_ASM4323785v1/GCA_043237855.1_ASM4323785v1_genomic.fna.gz,na,False
ASM3175591v1,nan,Ziziphus jujuba,common jujube,2n=,haploid,GCA_031755915.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031755915.1/,Complete Genome,PacBio Sequel,Hifiasm v. v0.16.1-r375,393332932,32197620,6,12,nan,Ziziphus,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/755/915/GCA_031755915.1_ASM3175591v1/GCA_031755915.1_ASM3175591v1_genomic.fna.gz,37482683,False
KIB_Rrac_1,nan,Rhipidocladum racemiflorum,nan,2n=,haploid,GCA_036346355.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036346355.1/,Chromosome,Oxford Nanopore PromethION,NextDenovo v. 2.3.1,1711761600,17300000,35,351,nan,Rhipidocladum,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/346/355/GCA_036346355.1_KIB_Rrac_1/GCA_036346355.1_KIB_Rrac_1_genomic.fna.gz,na,False
Jhindsii_Rawlins_primary,nan,Juglans hindsii,nan,2n=,haploid,GCA_041380745.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041380745.1/,Chromosome,PacBio,hifiasm v. 0.19.8,574030788,29029751,8,463,nan,Juglans,Juglandaceae,Fagales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/380/745/GCA_041380745.1_Jhindsii_Rawlins_primary/GCA_041380745.1_Jhindsii_Rawlins_primary_genomic.fna.gz,na,False
ASM3076312v1,nan,Hippophae gyantsensis,nan,2n=,haploid,GCA_030763125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030763125.1/,Chromosome,MGISEQ2000,nextdenovo v. 2.5.0; nextpolish v. 1.4.1; purge-dups v. 1.2.5; 3d-DNA v. 201008,716306447,23798355,11,176,nan,Hippophae,Elaeagnaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/763/125/GCA_030763125.1_ASM3076312v1/GCA_030763125.1_ASM3076312v1_genomic.fna.gz,na,False
Zm-Mo17-REFERENCE-CAU-T2T-assembly,nan,Zea mays,maize,2n=,haploid,GCA_022117705.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022117705.1/,Complete Genome,Oxford Nanopore PromethION; PacBio,NextDenovo v. 2.2-beta.0; Hifiasm v. 0.7,2178604320,220303002,5,10,nan,Zea,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/117/705/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic.fna.gz,na,False
ASM3437652v1,nan,Nicotiana benthamiana,nan,2n=,haploid,GCA_034376525.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034376525.1/,Chromosome,Oxford Nanopore PromethION,NextDenovo v. 2.5.0,2791885191,140743910,10,671,nan,Nicotiana,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/376/525/GCA_034376525.1_ASM3437652v1/GCA_034376525.1_ASM3437652v1_genomic.fna.gz,na,False
PI306540_Tmono,nan,Triticum monococcum,einkorn wheat,2n=,haploid,GCA_034509565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034509565.1/,Chromosome,PacBio Sequel,hifiasm v. 0.16.1,5115282781,131199207,12,223,nan,Triticum,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/565/GCA_034509565.1_PI306540_Tmono/GCA_034509565.1_PI306540_Tmono_genomic.fna.gz,37978797,False
Plantago_major_Chr,nan,Plantago major,common plantain,2n=,haploid,GCA_026545765.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_026545765.1/,Chromosome,Oxford Nanopore PromethION,NextDenovo v. 2.4.0,670951916,8715545,22,891,nan,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/545/765/GCA_026545765.1_Plantago_major_Chr/GCA_026545765.1_Plantago_major_Chr_genomic.fna.gz,na,False
ASM3399678v1,nan,Trichosanthes truncata,nan,2n=,haploid,GCA_033996785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033996785.1/,Scaffold,PacBio,FALCON v. MAY-2023,637409204,56068349,5,16,nan,Trichosanthes,Cucurbitaceae,Cucurbitales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/996/785/GCA_033996785.1_ASM3399678v1/GCA_033996785.1_ASM3399678v1_genomic.fna.gz,na,False
ASM4316530v1,nan,Flemingia macrophylla,nan,2n=,haploid,GCA_043165305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043165305.1/,Chromosome,Oxford Nanopore PromethION; BGI,NextDenovo v. 2.5.2,1006174390,59433165,7,30,nan,Flemingia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/165/305/GCA_043165305.1_ASM4316530v1/GCA_043165305.1_ASM4316530v1_genomic.fna.gz,na,False
ASM3711354v1,nan,Ziziphus jujuba var. spinosa,nan,2n=,haploid,GCA_037113545.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037113545.1/,Complete Genome,PacBio RSII; Oxford Nanopore PromethION,hifiasm; nextDenovo; Flye v. v0.16.1; v2.5.0; v2.9-b1768,375153944,30843711,6,12,nan,Ziziphus,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/113/545/GCA_037113545.1_ASM3711354v1/GCA_037113545.1_ASM3711354v1_genomic.fna.gz,na,False
CerSpe_IZO01_v1.0,nan,Prunus speciosa,oshima-zakura,2n=,haploid,GCA_041154625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041154625.1/,Complete Genome,PacBio Sequel II; Illumina NovaSeq 6000,Hifiasm v. 0.19.5-r587,269259082,32028665,4,8,nan,Prunus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/154/625/GCA_041154625.1_CerSpe_IZO01_v1.0/GCA_041154625.1_CerSpe_IZO01_v1.0_genomic.fna.gz,na,False
LcamUF-T48.hap2,nan,Lantana camara,nan,2n=,haploid,GCA_037501455.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037501455.1/,Chromosome,PacBio Sequel,Hifiasm v. 0.16.1,1276847657,107358010,5,414,nan,Lantana,Verbenaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/501/455/GCA_037501455.1_LcamUF-T48.hap2/GCA_037501455.1_LcamUF-T48.hap2_genomic.fna.gz,na,False
ASM1418272v1,nan,Eucalyptus brandiana,nan,2n=,haploid,GCA_014182725.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014182725.1/,Chromosome,Oxford Nanopore MinION,Canu v. 1.9,507065914,7278395,21,168,nan,Eucalyptus,Myrtaceae,Myrtales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/182/725/GCA_014182725.1_ASM1418272v1/GCA_014182725.1_ASM1418272v1_genomic.fna.gz,na,False
ASM1418284v1,nan,Corymbia calophylla,nan,2n=,haploid,GCA_014182845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014182845.1/,Chromosome,Oxford Nanopore MinION,Canu v. 1.9,394858832,1980233,59,421,nan,Corymbia,Myrtaceae,Myrtales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/182/845/GCA_014182845.1_ASM1418284v1/GCA_014182845.1_ASM1418284v1_genomic.fna.gz,na,False
ASM3707453v1,nan,Gleditsia sinensis,nan,2n=,haploid,GCA_037074535.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037074535.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.19.5,921423504,42062168,9,104,nan,Gleditsia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/074/535/GCA_037074535.1_ASM3707453v1/GCA_037074535.1_ASM3707453v1_genomic.fna.gz,na,False
NCae_cira_2.3,nan,Noccaea caerulescens,nan,2n=,haploid,GCA_046127275.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046127275.1/,Chromosome,PacBio Sequel; Illumina MiSeq,hifiasm v. 0.15.5; Juicer v. 1.5.7; 3d-dna v. 529ccf4,295581813,10462491,9,1218,nan,Noccaea,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/127/275/GCA_046127275.1_NCae_cira_2.3/GCA_046127275.1_NCae_cira_2.3_genomic.fna.gz,na,False
ASM3707451v1,nan,Mimosa bimucronata,nan,2n=,haploid,GCA_037074515.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037074515.1/,Chromosome,PacBio HiFi,Hifiasm v. 0.19.5,640542845,39843024,7,71,nan,Mimosa,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/074/515/GCA_037074515.1_ASM3707451v1/GCA_037074515.1_ASM3707451v1_genomic.fna.gz,na,False
UofSC_Psma_1,nan,Penstemon smallii,nan,2n=,haploid,GCA_046254845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046254845.1/,Chromosome,PacBio Sequel; Hi-C,hifiasm v. JAN-2023,438445354,3173035,26,1377,nan,Penstemon,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/254/845/GCA_046254845.1_UofSC_Psma_1/GCA_046254845.1_UofSC_Psma_1_genomic.fna.gz,na,False
ASM3044893v1,nan,Citrus cavaleriei,Ichang papeda,2n=,haploid,GCA_030448935.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030448935.1/,Contig,Oxford Nanopore,Necat v. default,364517697,5250823,23,502,nan,Citrus,Rutaceae,Sapindales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/448/935/GCA_030448935.1_ASM3044893v1/GCA_030448935.1_ASM3044893v1_genomic.fna.gz,na,False
drComPalu1.1,nan,Comarum palustre,nan,2n=,haploid,GCA_951800085.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_951800085.1/,Chromosome,PacBio Arima2,various,528788150,1707000,96,580,nan,Comarum,Rosaceae,Rosales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/800/085/GCA_951800085.1_drComPalu1.1/GCA_951800085.1_drComPalu1.1_genomic.fna.gz,na,False
C195_Genome,nan,Lupinus luteus,yellow lupine,2n=,haploid,GCA_964019355.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964019355.1/,Scaffold,PacBio  Illumina,Hifiasm  Jiucer  3D-DNA,962911505,16163958,24,245,nan,Lupinus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/019/355/GCA_964019355.1_C195_Genome/GCA_964019355.1_C195_Genome_genomic.fna.gz,na,False
ASM1662434v1,nan,Platycodon grandiflorus,jie geng,2n=,haploid,GCA_016624345.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_016624345.1/,Chromosome,Oxford Nanopore GridION; Illumina HiSeq,canu v. 2.0,574628480,1517729,89,1175,nan,Platycodon,Campanulaceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/624/345/GCA_016624345.1_ASM1662434v1/GCA_016624345.1_ASM1662434v1_genomic.fna.gz,na,False
Alaeq_EIv0.2,nan,Alopecurus aequalis,nan,2n=,haploid,GCA_964340505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964340505.1/,Chromosome,PacBio,hifiasm,2849139345,374747030,4,164,nan,Alopecurus,Poaceae,Poales,Magnoliopsida,Streptophyta,monocots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/340/505/GCA_964340505.1_Alaeq_EIv0.2/GCA_964340505.1_Alaeq_EIv0.2_genomic.fna.gz,na,False
Humb_v1,nan,Helichrysum umbraculigerum,nan,2n=,haploid,GCA_949592205.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_949592205.1/,Scaffold,PACBIO_SMRT ILLUMINA,hifiasm,1315046614,66743525,6,469,nan,Helichrysum,Asteraceae,Asterales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/592/205/GCA_949592205.1_Humb_v1/GCA_949592205.1_Humb_v1_genomic.fna.gz,na,False
ASM39032v3,nan,Nicotiana tomentosiformis,nan,2n=,haploid,GCA_000390325.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000390325.3/,Chromosome,Oxford Nanopore; Illumina,Flye v. 2.9.1,1741659506,10611449,46,1040,nan,Nicotiana,Solanaceae,Solanales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/390/325/GCA_000390325.3_ASM39032v3/GCA_000390325.3_ASM39032v3_genomic.fna.gz,38278835;23773524,False
C.berlandieri_1.0,nan,Chenopodium berlandieri,nan,2n=,haploid,GCA_034703905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034703905.1/,Chromosome,PacBio Sequel,Canu v. 1.9,1295260082,4925543,76,1191,nan,Chenopodium,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/703/905/GCA_034703905.1_C.berlandieri_1.0/GCA_034703905.1_C.berlandieri_1.0_genomic.fna.gz,na,False
ASM4071231v1,nan,Castanea sativa,European chestnut,2n=,haploid,GCA_040712315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040712315.1/,Chromosome,Illumina HiSeq; Oxford Nanopore MinION,NextDenovo v. 2.5.0,715856406,25027151,9,77,nan,Castanea,Fagaceae,Fagales,Magnoliopsida,Streptophyta,eudicots,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/712/315/GCA_040712315.1_ASM4071231v1/GCA_040712315.1_ASM4071231v1_genomic.fna.gz,38909221,False
